REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_FOOTNOTE,DATA_SOURCE,OBS_STATUS,Observation Status
COG,Congo,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
CIV,Côte d'Ivoire,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
COD,Democratic Republic of the Congo,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
DJI,Djibouti,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
EGY,Egypt,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GNQ,Equatorial Guinea,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
ERI,Eritrea,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SWZ,Eswatini,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
ETH,Ethiopia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GAB,Gabon,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GMB,Gambia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GHA,Ghana,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GIN,Guinea,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
GNB,Guinea-Bissau,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
KEN,Kenya,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
LSO,Lesotho,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
LBR,Liberia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
LBY,Libya,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MDG,Madagascar,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Extremely High,Value: 9.5,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MWI,Malawi,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MLI,Mali,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MRT,Mauritania,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MAR,Morocco,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
MOZ,Mozambique,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Medium-High,Value: 5.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
NAM,Namibia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
NER,Niger,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
NGA,Nigeria,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
RWA,Rwanda,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SEN,Senegal,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SLE,Sierra Leone,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SOM,Somalia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
ZAF,South Africa,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SSD,South Sudan,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
SDN,Sudan,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
TGO,Togo,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
TUN,Tunisia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
UGA,Uganda,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
TZA,United Republic of Tanzania,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
ZMB,Zambia,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
ZWE,Zimbabwe,CCRI_TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,2020,Low,Value: 0.0,"UNDRR, CIESIN | Gridded Population of the World - UNDRR, CIESIN | Gridded Population of the World, UN World Population Prospects",,
DZA,Algeria,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.8,,,
AGO,Angola,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.3,,,
BEN,Benin,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.5,,,
BWA,Botswana,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low-Medium,Value: 3.7,,,
BFA,Burkina Faso,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.3,,,
BDI,Burundi,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.7,,,
CMR,Cameroon,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.0,,,
CAF,Central African Republic,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.3,,,
TCD,Chad,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 7.0,,,
COG,Congo,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.8,,,
CIV,Côte d'Ivoire,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.5,,,
COD,Democratic Republic of the Congo,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.8,,,
DJI,Djibouti,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.3,,,
EGY,Egypt,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.0,,,
GNQ,Equatorial Guinea,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.3,,,
ERI,Eritrea,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.4,,,
SWZ,Eswatini,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low-Medium,Value: 3.6,,,
ETH,Ethiopia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 8.2,,,
GAB,Gabon,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.6,,,
GMB,Gambia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.2,,,
GHA,Ghana,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.2,,,
GIN,Guinea,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.7,,,
GNB,Guinea-Bissau,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.1,,,
KEN,Kenya,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.3,,,
LSO,Lesotho,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.0,,,
LBR,Liberia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.9,,,
LBY,Libya,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.3,,,
MDG,Madagascar,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
MWI,Malawi,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
MLI,Mali,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.1,,,
MRT,Mauritania,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.4,,,
MAR,Morocco,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.0,,,
MOZ,Mozambique,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.6,,,
NAM,Namibia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.9,,,
NER,Niger,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.2,,,
NGA,Nigeria,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.8,,,
RWA,Rwanda,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 4.4,,,
SEN,Senegal,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.3,,,
SLE,Sierra Leone,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
SOM,Somalia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.7,,,
ZAF,South Africa,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 6.7,,,
SSD,South Sudan,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.6,,,
SDN,Sudan,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 8.1,,,
TGO,Togo,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.5,,,
TUN,Tunisia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Low,Value: 0.0,,,
UGA,Uganda,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Extremely High,Value: 7.3,,,
TZA,United Republic of Tanzania,CCRI_MALARIA,Malaria,,,IDX,Index,2020,High,Value: 5.8,,,
ZMB,Zambia,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
ZWE,Zimbabwe,CCRI_MALARIA,Malaria,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
DZA,Algeria,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 5.7,,,
AGO,Angola,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.1,,,
BEN,Benin,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.6,,,
BWA,Botswana,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 3.5,,,
BFA,Burkina Faso,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 6.1,,,
BDI,Burundi,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
CMR,Cameroon,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.4,,,
CAF,Central African Republic,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
TCD,Chad,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 5.5,,,
COG,Congo,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.8,,,
CIV,Côte d'Ivoire,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
COD,Democratic Republic of the Congo,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.5,,,
DJI,Djibouti,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 3.4,,,
EGY,Egypt,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 2.4,,,
GNQ,Equatorial Guinea,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.6,,,
ERI,Eritrea,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 3.3,,,
SWZ,Eswatini,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 2.1,,,
ETH,Ethiopia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.4,,,
GAB,Gabon,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.2,,,
GMB,Gambia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 4.3,,,
GHA,Ghana,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.1,,,
GIN,Guinea,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
GNB,Guinea-Bissau,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.8,,,
KEN,Kenya,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.3,,,
LSO,Lesotho,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low,Value: 0.0,,,
LBR,Liberia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
LBY,Libya,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 4.3,,,
MDG,Madagascar,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.1,,,
MWI,Malawi,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 6.2,,,
MLI,Mali,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 6.6,,,
MRT,Mauritania,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 5.7,,,
MAR,Morocco,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 4.7,,,
MOZ,Mozambique,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.3,,,
NAM,Namibia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low-Medium,Value: 2.2,,,
NER,Niger,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
NGA,Nigeria,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
RWA,Rwanda,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.1,,,
SEN,Senegal,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 6.1,,,
SLE,Sierra Leone,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
SOM,Somalia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 4.9,,,
ZAF,South Africa,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 5.1,,,
SSD,South Sudan,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 6.5,,,
SDN,Sudan,CCRI_ZIKA,Zika,,,IDX,Index,2020,High,Value: 5.6,,,
TGO,Togo,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.0,,,
TUN,Tunisia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Low,Value: 0.0,,,
UGA,Uganda,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
TZA,United Republic of Tanzania,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 8.4,,,
ZMB,Zambia,CCRI_ZIKA,Zika,,,IDX,Index,2020,Extremely High,Value: 7.1,,,
ZWE,Zimbabwe,CCRI_ZIKA,Zika,,,IDX,Index,2020,Medium-High,Value: 4.2,,,
DZA,Algeria,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 5.5,,,
AGO,Angola,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.1,,,
BEN,Benin,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.8,,,
BWA,Botswana,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Low,Value: 2.0,,,
BFA,Burkina Faso,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.7,,,
BDI,Burundi,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 6.9,,,
CMR,Cameroon,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.8,,,
CAF,Central African Republic,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
TCD,Chad,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.6,,,
COG,Congo,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.9,,,
CIV,Côte d'Ivoire,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 10.0,,,
COD,Democratic Republic of the Congo,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
DJI,Djibouti,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.4,,,
EGY,Egypt,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 6.2,,,
GNQ,Equatorial Guinea,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
ERI,Eritrea,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 6.5,,,
SWZ,Eswatini,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 3.8,,,
ETH,Ethiopia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.2,,,
GAB,Gabon,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.1,,,
GMB,Gambia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.2,,,
GHA,Ghana,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 10.0,,,
GIN,Guinea,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.8,,,
GNB,Guinea-Bissau,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.9,,,
KEN,Kenya,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.5,,,
LSO,Lesotho,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Low,Value: 0.0,,,
LBR,Liberia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.3,,,
LBY,Libya,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 5.3,,,
MDG,Madagascar,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.5,,,
MWI,Malawi,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 7.7,,,
MLI,Mali,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.3,,,
MRT,Mauritania,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 6.9,,,
MAR,Morocco,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 5.1,,,
MOZ,Mozambique,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.3,,,
NAM,Namibia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 4.8,,,
NER,Niger,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.8,,,
NGA,Nigeria,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 10.0,,,
RWA,Rwanda,CCRI_DENGUE,Dengue,,,IDX,Index,2020,High,Value: 5.6,,,
SEN,Senegal,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
SLE,Sierra Leone,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.5,,,
SOM,Somalia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.2,,,
ZAF,South Africa,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 4.9,,,
SSD,South Sudan,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.6,,,
SDN,Sudan,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 7.5,,,
TGO,Togo,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 9.6,,,
TUN,Tunisia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 3.9,,,
UGA,Uganda,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
TZA,United Republic of Tanzania,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 8.7,,,
ZMB,Zambia,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Extremely High,Value: 7.9,,,
ZWE,Zimbabwe,CCRI_DENGUE,Dengue,,,IDX,Index,2020,Medium-High,Value: 5.0,,,
DZA,Algeria,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 8.0,,,
AGO,Angola,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.5,,,
BEN,Benin,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.6,,,
BWA,Botswana,CCRI_AEDES,Aedes,,,IDX,Index,2020,High,Value: 6.7,,,
BFA,Burkina Faso,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 10.0,,,
BDI,Burundi,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 7.7,,,
CMR,Cameroon,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.6,,,
CAF,Central African Republic,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.6,,,
TCD,Chad,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.8,,,
COG,Congo,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
CIV,Côte d'Ivoire,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.6,,,
COD,Democratic Republic of the Congo,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.4,,,
DJI,Djibouti,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 8.2,,,
EGY,Egypt,CCRI_AEDES,Aedes,,,IDX,Index,2020,High,Value: 6.4,,,
GNQ,Equatorial Guinea,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 7.1,,,
ERI,Eritrea,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 7.9,,,
SWZ,Eswatini,CCRI_AEDES,Aedes,,,IDX,Index,2020,High,Value: 7.0,,,
ETH,Ethiopia,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 8.2,,,
GAB,Gabon,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 8.4,,,
GMB,Gambia,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.2,,,
GHA,Ghana,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.5,,,
GIN,Guinea,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.5,,,
GNB,Guinea-Bissau,CCRI_AEDES,Aedes,,,IDX,Index,2020,Extremely High,Value: 9.1,,,
